,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,plaats_chassisnummer,type_gasinstallatie,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,vervaldatum_apk_dt,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,maximum_massa_samenstelling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximale_constructiesnelheid
441,02RFF6,Personenauto,BMW,118I,20230113,20180929,stationwagen,BLAUW,Niet geregistreerd,4,1250,1350,20110511,20110511,Geen verstrekking in Open Data,Ja,4,4,M1,r. motorruimte,,0.08,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-01-13T00:00:00.000,2018-09-29T00:00:00.000,2011-05-11T00:00:00.000,2011-05-11T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,424,0,1775,0,0,5638,5,1995,1775,,,34654,1K4,e1*2007/46*0283*03,UE51,5N,0,B,,
442,02RFPZ,Personenauto,BMW,5ER REIHE,20230319,20220302,sedan,BLAUW,Niet geregistreerd,6,1475,1575,20050307,20050307,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.09,289,Nee,Ja,Nee,2022,Logisch,00,Ja,2023-03-19T00:00:00.000,2022-03-02T00:00:00.000,2005-03-07T00:00:00.000,2005-03-07T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,484,0,2060,0,4060,19033,5,2494,2060,750,2000,73197,,e1*2001/116*0230*03,NA51,32,0,D,,
443,02RFSL,Personenauto,BMW,3ER REIHE,20230215,20220524,sedan,BLAUW,Niet geregistreerd,4,1295,1395,20050304,20050304,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.08,276,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-02-15T00:00:00.000,2022-05-24T00:00:00.000,2005-03-04T00:00:00.000,2005-03-04T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,1840,0,3315,10084,5,1995,1840,695,1400,40689,,e1*2001/116*0308*01,VA71,01,0,B,,
444,02RGS1,Personenauto,BMW,523I,20230519,20160430,sedan,BLAUW,Niet geregistreerd,6,1625,1725,20110519,20110519,Geen verstrekking in Open Data,Ja,4,4,M1,r. motorruimte,,0.09,297,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-05-19T00:00:00.000,2016-04-30T00:00:00.000,2011-05-19T00:00:00.000,2011-05-19T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,490,0,2260,0,4350,12500,5,2996,2260,750,2000,69975,5L,e1*2007/46*0363*04,FS11,5B,0,B,0.00,
445,02RHK3,Personenauto,BMW,320I,20230203,20160315,cabriolet,BLAUW,Niet geregistreerd,4,1570,1670,20110524,20110524,Geen verstrekking in Open Data,Ja,2,4,M1,r. schroefveerkoker,,0.07,276,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-02-03T00:00:00.000,2016-03-15T00:00:00.000,2011-05-24T00:00:00.000,2011-05-24T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,461,0,2025,0,3500,10153,4,1995,2025,695,1400,60184,3C,e1*2007/46*0316*03,DV51,5A,0,C,0.00,
446,02RJLN,Personenauto,BMW,3ER REIHE,20231007,20171129,sedan,BLAUW,Niet geregistreerd,4,1343,1443,20050422,20050422,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,G3 gasinstallatie,0.08,276,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-10-07T00:00:00.000,2017-11-29T00:00:00.000,2005-04-22T00:00:00.000,2005-04-22T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,1840,0,3315,10852,5,1995,1840,695,1400,43479,,e1*2001/116*0308*01,VA71,01,0,B,,
447,02RKGV,Personenauto,BMW,1ER REIHE,20211118,20200430,hatchback,BLAUW,Niet geregistreerd,4,1285,1385,20050509,20050509,Geen verstrekking in Open Data,Nee,4,4,M1,op r. schroefveerkoker onder motorkap,,0.06,266,Nee,Nee,Nee,2020,Logisch,00,Nee,2021-11-18T00:00:00.000,2020-04-30T00:00:00.000,2005-05-09T00:00:00.000,2005-05-09T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,423,0,1810,0,3085,9078,5,1995,1810,690,1200,32116,,e1*2001/116*0287*03,UG31,01,0,D,,
448,02RLGK,Personenauto,BMW,1ER REIHE,20230628,20191201,hatchback,BLAUW,Niet geregistreerd,4,1235,1335,20050524,20050524,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.07,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-06-28T00:00:00.000,2019-12-01T00:00:00.000,2005-05-24T00:00:00.000,2005-05-24T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,423,0,1760,0,3035,8967,5,1995,1760,650,1200,36630,,e1*2001/116*0287*03,UF31,02,0,D,,
449,02RNHL,Personenauto,BMW,7ER REIHE,20220925,20220804,sedan,BLAUW,Niet geregistreerd,8,1910,2010,20050610,20050610,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.11,313,Nee,Nee,Nee,2022,Logisch,00,Ja,2022-09-25T00:00:00.000,2022-08-04T00:00:00.000,2005-06-10T00:00:00.000,2005-06-10T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,518,0,2515,0,4715,36765,5,4000,2515,750,2100,137612,,e1*2001/116*0172*07,HN61,31,0,D,0.00,
450,02RPHL,Personenauto,BMW,X REIHE,20230629,20050629,sedan,BLAUW,Niet geregistreerd,6,1740,1840,20050629,20050629,Geen verstrekking in Open Data,Ja,4,4,M1,by r. schroefveerkoker onder motorkap,,0.08,280,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-06-29T00:00:00.000,2005-06-29T00:00:00.000,2005-06-29T00:00:00.000,2005-06-29T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,457,0,2270,0,4145,16408,5,2494,2270,720,1800,63662,,e1*2001/116*0249*05,PA71,32,0,G,,
