,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,plaats_chassisnummer,vervaldatum_apk,vervaldatum_apk_dt,type_gasinstallatie,maximum_last_onder_de_vooras_sen_tezamen_koppeling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,maximum_ondersteunende_snelheid,zuinigheidsclassificatie,type,registratie_datum_goedkeuring_afschrijvingsmoment_bpm,registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
246,02NRVL,Personenauto,OPEL,MERIVA-A,20190916,MPV,ROOD,Niet geregistreerd,4,1250,1350,20040122,20040122,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1805,0,0.05,263,Nee,Nee,Nee,2830,2022,Logisch,00,Ja,2019-09-16T00:00:00.000,2004-01-22T00:00:00.000,2004-01-22T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230610,2023-06-10T00:00:00.000,,,3456,5,1598,1805,675,1200,,e1*2001/116*0215*03,AA11,1A01A1AAAD5,0,,E,,,
247,02NSHT,Personenauto,OPEL,CORSA-C,20220616,hatchback,ROOD,Niet geregistreerd,4,953,1053,20040212,20040212,Geen verstrekking in Open Data,Nee,4,4,0,0,384,0,M1,1530,0,0.06,249,Nee,Nee,Nee,2525,2022,Logisch,00,Ja,2022-06-16T00:00:00.000,2004-02-12T00:00:00.000,2004-02-12T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230707,2023-07-07T00:00:00.000,,,3481,5,1364,1530,450,1000,,e1*98/14*0148*08,DH11,1A03AEDBBC5,0,,C,,,
248,02PBKX,Personenauto,OPEL,CORSA-C,20091030,hatchback,ROOD,Niet geregistreerd,4,935,1035,20040422,20040422,Geen verstrekking in Open Data,Ja,2,4,0,0,384,0,M1,1480,0,0.06,249,Nee,Nee,Nee,2495,2022,Logisch,00,Ja,2009-10-30T00:00:00.000,2004-04-22T00:00:00.000,2004-04-22T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230422,2023-04-22T00:00:00.000,,,2962,5,1364,1480,450,1000,,e1*98/14*0148*08,AH11,1A16AHNECC5,0,,B,,,
249,02PBSH,Personenauto,OPEL,MERIVA-A,20100514,MPV,ROOD,Niet geregistreerd,4,1250,1350,20040429,20040429,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1830,0,0.05,263,Nee,Nee,Nee,2830,2022,Logisch,00,Ja,2010-05-14T00:00:00.000,2004-04-29T00:00:00.000,2004-04-29T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230601,2023-06-01T00:00:00.000,,,3878,5,1598,1830,675,1200,,e1*2001/116*0215*03,BA11,1A01A2BBAD5,0,,D,,,
250,02PBSK,Personenauto,OPEL,CORSA-C,20061129,hatchback,ROOD,Niet geregistreerd,4,953,1053,20040423,20040423,Geen verstrekking in Open Data,Ja,4,4,0,0,384,0,M1,1530,0,0.06,249,Nee,Nee,Nee,2525,2021,Logisch,00,Ja,2006-11-29T00:00:00.000,2004-04-23T00:00:00.000,2004-04-23T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221202,2022-12-02T00:00:00.000,,,3093,5,1364,1530,450,1000,,e1*98/14*0148*08,DH11,1A03AEDBBC5,0,,C,,,
251,02PFTS,Personenauto,OPEL,ASTRA,20220108,hatchback,ROOD,Niet geregistreerd,4,1178,1278,20040604,20040604,Geen verstrekking in Open Data,Ja,4,4,0,0,425,0,M1,1780,0,0.07,261,Nee,Nee,Nee,3125,2022,Logisch,00,Ja,2022-01-08T00:00:00.000,2004-06-04T00:00:00.000,2004-06-04T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230809,2023-08-09T00:00:00.000,,,5184,5,1796,1780,630,1300,,e1*2001/116*0261*01,BC11,1A03A5FABD5,0,,D,,,
252,02PJRR,Personenauto,OPEL,MERIVA-A,20140307,MPV,ROOD,Niet geregistreerd,4,1275,1375,20040717,20040717,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1855,0,0.05,263,Nee,Nee,Nee,3080,2022,Logisch,00,Ja,2014-03-07T00:00:00.000,2004-07-17T00:00:00.000,2004-07-17T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230314,2023-03-14T00:00:00.000,,,3890,5,1598,1855,675,1200,,e1*2001/116*0215*03,BB11,1A02A4CBAF5,0,,D,,,
253,02PNJ7,Personenauto,OPEL,AGILA,20180707,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20110228,20110228,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2018-07-07T00:00:00.000,2011-02-28T00:00:00.000,2011-02-28T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230219,2023-02-19T00:00:00.000,,,973,5,996,1485,,,11979,e4*2001/116*0135*05,AA11,1A01A1AAAA5,0,,B,H-B,,
254,02PNRL,Personenauto,OPEL,ZAFIRA-A,20171227,stationwagen,ROOD,Niet geregistreerd,4,1335,1435,20040915,20040915,Geen verstrekking in Open Data,Ja,4,4,0,0,432,0,M1,1980,0,0.06,269,Nee,Nee,Nee,3325,2022,Logisch,00,Ja,2017-12-27T00:00:00.000,2004-09-15T00:00:00.000,2004-09-15T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221215,2022-12-15T00:00:00.000,,,5397,7,1796,1980,600,1300,,e1*98/14*0110*16,HE11,2A12AY14FCB7,0,,D,,,
255,02PSSH,Personenauto,OPEL,MERIVA-A,20090529,MPV,ROOD,Niet geregistreerd,4,1230,1330,20041104,20041104,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1810,0,0.05,263,Nee,Nee,Nee,2835,2022,Logisch,00,Ja,2009-05-29T00:00:00.000,2004-11-04T00:00:00.000,2004-11-04T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230608,2023-06-08T00:00:00.000,,,3862,5,1364,1810,665,1000,,e1*2001/116*0215*04,BF11,1A06AAABCD5,0,,C,,,
256,02RHHK,Personenauto,OPEL,AGILA,20200710,MPV,ROOD,Niet geregistreerd,3,940,1040,20050401,20050401,Geen verstrekking in Open Data,Ja,4,4,0,0,354,0,M1,1435,0,0.04,236,Nee,Nee,Nee,2112,2022,Logisch,00,Ja,2020-07-10T00:00:00.000,2005-04-01T00:00:00.000,2005-04-01T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. tegen schutbord onder motorkap,20230802,2023-08-02T00:00:00.000,,,1766,5,998,1435,350,650,10518,e1*98/14*0141*10,AC11,1A05A3CABA5,0,,C,,,
257,02RHZF,Personenauto,OPEL,CORSA-C,20220611,hatchback,ROOD,Niet geregistreerd,4,935,1035,20050411,20050411,Geen verstrekking in Open Data,Ja,2,4,0,0,384,0,M1,1480,0,0.06,249,Nee,Nee,Nee,2495,2022,Logisch,00,Ja,2022-06-11T00:00:00.000,2005-04-11T00:00:00.000,2005-04-11T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230906,2023-09-06T00:00:00.000,,,2330,5,1364,1480,450,1000,12568,e1*98/14*0148*11,AH11,1A16AHNBBC5,0,,C,,,
258,02RKVJ,Personenauto,OPEL,MERIVA-A,20220715,MPV,ROOD,Niet geregistreerd,4,1275,1375,20050531,20050531,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1855,0,0.05,263,Nee,Nee,Nee,3080,2022,Logisch,00,Ja,2022-07-15T00:00:00.000,2005-05-31T00:00:00.000,2005-05-31T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230531,2023-05-31T00:00:00.000,,,4857,5,1598,1855,675,1200,21747,e1*2001/116*0215*05,BB11,1A02A4CBAF5,0,,D,,,
259,02RKZS,Personenauto,OPEL,MERIVA-A,20210621,MPV,ROOD,Niet geregistreerd,4,1275,1375,20050519,20050519,Geen verstrekking in Open Data,Ja,4,4,0,0,404,0,M1,1855,0,0.05,263,Nee,Nee,Nee,3000,2022,Logisch,00,Ja,2021-06-21T00:00:00.000,2005-05-19T00:00:00.000,2005-05-19T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221111,2022-11-11T00:00:00.000,,,4936,5,1598,1855,675,1200,22035,e1*2001/116*0215*05,BB11,1A02A4CCAF5,0,,D,,,
260,02RLX1,Personenauto,OPEL,ASTRA GTC,20211106,coupe,ROOD,Niet geregistreerd,4,1145,1245,20061013,20110624,Geen verstrekking in Open Data,Ja,2,4,0,0,429,0,M1,1740,0,0.06,261,Nee,Nee,Nee,2985,2022,Geen oordeel,05,Ja,2021-11-06T00:00:00.000,2006-10-13T00:00:00.000,2011-06-24T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20220818,2022-08-18T00:00:00.000,,,5489,5,1598,1740,620,1200,,e4*2001/116*0094*04,KB11,1A02A4EABR5,0,,C,,,
261,02RVNZ,Personenauto,OPEL,ASTRA STATION WAGON,20200606,stationwagen,ROOD,Niet geregistreerd,4,1293,1393,20050926,20050926,Geen verstrekking in Open Data,Ja,4,4,0,0,452,0,M1,1950,0,0.05,270,Nee,Nee,Nee,3380,2022,Logisch,00,Ja,2020-06-06T00:00:00.000,2005-09-26T00:00:00.000,2005-09-26T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221025,2022-10-25T00:00:00.000,,,7541,5,1686,1950,690,1400,26579,e1*2001/116*0293*00,FE11,1A06ABLCCC5,0,,B,,,
262,02SBXJ,Personenauto,OPEL,ASTRA,20220117,hatchback,ROOD,Niet geregistreerd,4,1130,1230,20051121,20051121,Geen verstrekking in Open Data,Ja,4,4,0,0,425,0,M1,1725,0,0.05,261,Nee,Nee,Nee,2570,2022,Logisch,00,Ja,2022-01-17T00:00:00.000,2005-11-21T00:00:00.000,2005-11-21T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230907,2023-09-07T00:00:00.000,,,4995,5,1364,1725,615,1000,22245,e1*2001/116*0261*05,BA11,1A01A2BDEG5,0,,A,,,
263,02SJG2,Personenauto,OPEL,CORSA,20151003,MPV,ROOD,Niet geregistreerd,4,1063,1163,20110930,20110930,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,1605,0,0.05,251,Nee,Nee,Nee,2455,2022,Logisch,00,Ja,2015-10-03T00:00:00.000,2011-09-30T00:00:00.000,2011-09-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230723,2023-07-23T00:00:00.000,Af-fabriek gasinstallatie,,,5,1229,1605,450,850,15245,e1*2001/116*0379*17,BZ11,1AACA7K0BDA5,0,0.00,A,S-D,,
264,02SNB4,Personenauto,OPEL,AGILA,20220127,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20111027,20111027,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-01-27T00:00:00.000,2011-10-27T00:00:00.000,2011-10-27T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230126,2023-01-26T00:00:00.000,,,,5,996,1485,,,8995,e4*2001/116*0135*09,AE11,1AAAA1AAAA5,0,,A,H-B,,
265,02SNRN,Personenauto,OPEL,ASTRA STATION WAGON,20220629,stationwagen,ROOD,Niet geregistreerd,4,1215,1315,20060314,20060314,Geen verstrekking in Open Data,Nee,4,4,0,0,452,0,M1,1860,0,0.06,270,Ja,Nee,Nee,2990,2022,Logisch,00,Nee,2022-06-29T00:00:00.000,2006-03-14T00:00:00.000,2006-03-14T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230314,2023-03-14T00:00:00.000,,,5505,5,1598,1860,650,1100,,e1*2001/116*0293*02,FB11,1A02A5EABG5,0,,B,,,
266,02SPVS,Personenauto,OPEL,MERIVA-A,20190419,MPV,ROOD,Niet geregistreerd,4,1275,1375,20060331,20060331,Geen verstrekking in Open Data,Ja,4,4,0,0,405,0,M1,1830,0,0.06,263,Nee,Nee,Nee,3055,2022,Logisch,00,Ja,2019-04-19T00:00:00.000,2006-03-31T00:00:00.000,2006-03-31T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230408,2023-04-08T00:00:00.000,,,4569,5,1598,1830,675,1200,,e1*2001/116*0215*07,AJ11,1A02A2BGDH5,0,,C,,,
267,02STTT,Personenauto,OPEL,CORSA-C,20120922,hatchback,ROOD,Niet geregistreerd,4,935,1035,20060503,20060503,Geen verstrekking in Open Data,Ja,4,4,0,0,384,0,M1,1455,0,0.06,249,Nee,Nee,Nee,2360,2021,Geen oordeel,07,Ja,2012-09-22T00:00:00.000,2006-05-03T00:00:00.000,2006-05-03T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221003,2022-10-03T00:00:00.000,,,3290,5,1229,1455,450,950,,e1*98/14*0148*12,DL11,1A07A3CBCA5,0,,C,,,
268,02STXT,Personenauto,OPEL,CORSA-C,20210907,hatchback,ROOD,Niet geregistreerd,4,935,1035,20060503,20060503,Geen verstrekking in Open Data,Ja,4,4,0,0,384,0,M1,1455,0,0.06,249,Nee,Nee,Nee,2360,2022,Logisch,00,Ja,2021-09-07T00:00:00.000,2006-05-03T00:00:00.000,2006-05-03T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230807,2023-08-07T00:00:00.000,,,3202,5,1229,1455,450,950,,e1*98/14*0148*12,DL11,1A07A3CBCA5,0,,C,,,
269,02SV27,Personenauto,OPEL,ASCONA 19S,20170220,Niet geregistreerd,ROOD,Niet geregistreerd,4,962,1062,19770817,19770817,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,252,Nee,Nee,Nee,0,2015,Geen oordeel,01,Ja,2017-02-20T00:00:00.000,1977-08-17T00:00:00.000,1977-08-17T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20170526,2017-05-26T00:00:00.000,,,,,,,,,,,,,,,,,,
270,02SV83,Personenauto,OPEL,ASCONA 16,20220108,Niet geregistreerd,ROOD,Niet geregistreerd,4,923,1023,19770916,19770916,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,252,Nee,Nee,Nee,0,2022,Geen oordeel,01,Ja,2022-01-08T00:00:00.000,1977-09-16T00:00:00.000,1977-09-16T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20240209,2024-02-09T00:00:00.000,,,,,,,,,,,,,,,,,,
271,02SVBB,Personenauto,OPEL,VECTRA STATION WAGON,20220713,stationwagen,ROOD,Niet geregistreerd,4,1403,1503,20060508,20060508,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,2085,0,0.08,283,Nee,Nee,Nee,3685,2022,Logisch,00,Ja,2022-07-13T00:00:00.000,2006-05-08T00:00:00.000,2006-05-08T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230523,2023-05-23T00:00:00.000,,,9599,5,2198,2085,750,1600,,e1*2001/116*0292*04,BD11,1A15AHAGNPY5,0,,C,,,
272,02SVRT,Personenauto,OPEL,CORSA-C,20170817,hatchback,ROOD,Niet geregistreerd,4,935,1035,20060517,20060517,Geen verstrekking in Open Data,Ja,4,4,0,0,384,0,M1,1430,0,0.06,249,Nee,Nee,Nee,2360,2022,Logisch,00,Ja,2017-08-17T00:00:00.000,2006-05-17T00:00:00.000,2006-05-17T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230519,2023-05-19T00:00:00.000,,0,2331,5,1229,1430,450,1000,,e1*98/14*0148*12,CL11,1A07A2BBCA5,0,,C,,,
273,02SXFL,Personenauto,OPEL,MERIVA-A,20170901,stationwagen,ROOD,Niet geregistreerd,4,1275,1375,20060529,20060529,Geen verstrekking in Open Data,Ja,4,4,0,0,405,0,M1,1855,0,0.06,263,Nee,Nee,Nee,3080,2022,Logisch,00,Ja,2017-09-01T00:00:00.000,2006-05-29T00:00:00.000,2006-05-29T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230903,2023-09-03T00:00:00.000,,0,4737,5,1598,1855,675,1200,,e1*2001/116*0215*07,BJ11,1A02A4CGDH5,0,,C,,,
274,02SXZT,Personenauto,OPEL,CORSA-C,20210705,hatchback,ROOD,Niet geregistreerd,4,935,1035,20060609,20060609,Geen verstrekking in Open Data,Ja,4,4,0,0,384,0,M1,1430,0,0.06,249,Nee,Nee,Nee,2360,2021,Logisch,00,Ja,2021-07-05T00:00:00.000,2006-06-09T00:00:00.000,2006-06-09T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221110,2022-11-10T00:00:00.000,,,2689,5,1229,1430,450,1000,,e1*98/14*0148*12,CL11,1A07A2BBCA5,0,,C,,,
275,02SZZN,Personenauto,OPEL,MERIVA-A,20200214,MPV,ROOD,Niet geregistreerd,4,1275,1375,20060629,20060629,Geen verstrekking in Open Data,Ja,4,4,0,0,405,0,M1,1855,0,0.06,263,Nee,Nee,Nee,3080,2022,Logisch,00,Ja,2020-02-14T00:00:00.000,2006-06-29T00:00:00.000,2006-06-29T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230806,2023-08-06T00:00:00.000,,,5094,5,1598,1855,675,1200,,e1*2001/116*0215*07,BJ11,1A02A4CBAH5,0,,C,,,
276,02TDGJ,Personenauto,OPEL,CORSA-C,20180629,hatchback,ROOD,Niet geregistreerd,4,910,1010,20060713,20060713,Geen verstrekking in Open Data,Ja,2,4,0,0,384,0,M1,1430,0,0.06,249,Nee,Nee,Nee,2400,2022,Logisch,00,Ja,2018-06-29T00:00:00.000,2006-07-13T00:00:00.000,2006-07-13T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230512,2023-05-12T00:00:00.000,,,2037,5,1229,1430,450,1000,,e1*98/14*0148*12,AL11,1A02A2BEBA5,0,,B,,,
277,02TDJJ,Personenauto,OPEL,ASTRA TWIN TOP,20210901,cabriolet,ROOD,Niet geregistreerd,4,1505,1605,20060711,20060711,Geen verstrekking in Open Data,Nee,2,4,0,0,448,0,M1,1955,0,0.08,261,Nee,Nee,Nee,3230,2021,Logisch,00,Ja,2021-09-01T00:00:00.000,2006-07-11T00:00:00.000,2006-07-11T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20220727,2022-07-27T00:00:00.000,,,10416,4,1998,1955,750,1200,,e4*2001/116*0094*03,PF11,1A14APYFBY4,0,,F,,,
