,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,plaats_chassisnummer,vervaldatum_apk,vervaldatum_apk_dt,type_gasinstallatie,maximum_last_onder_de_vooras_sen_tezamen_koppeling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,maximum_ondersteunende_snelheid,zuinigheidsclassificatie,type,registratie_datum_goedkeuring_afschrijvingsmoment_bpm,registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
15,00NFN1,Personenauto,OPEL,CORSA,20211015,MPV,ROOD,Niet geregistreerd,4,1040,1140,20100827,20100827,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,1585,0,0.06,251,Nee,Nee,Nee,2590,2022,Logisch,00,Ja,2021-10-15T00:00:00.000,2010-08-27T00:00:00.000,2010-08-27T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20231008,2023-10-08T00:00:00.000,,,2468,5,1398,1585,500,1000,16035,e1*2001/116*0379*13,FR11,1A03A5K0ACA5,0,,B,S-D,,
16,00NZJ8,Personenauto,OPEL,AGILA,20180328,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20101229,20101229,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2018-03-28T00:00:00.000,2010-12-29T00:00:00.000,2010-12-29T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230102,2023-01-02T00:00:00.000,,,789,5,996,1485,,,11795,e4*2001/116*0135*06,AA11,1A01A1AAAA5,0,,B,H-B,,
17,00PGG2,Personenauto,OPEL,ASTRA,20220523,hatchback,ROOD,Niet geregistreerd,4,1293,1393,20110119,20110119,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1940,0,0.07,269,Nee,Nee,Nee,3300,2022,Logisch,00,Ja,2022-05-23T00:00:00.000,2011-01-19T00:00:00.000,2011-01-19T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,by bodemplaat r. voorzitting,20230617,2023-06-17T00:00:00.000,,,4449,5,1364,1940,680,1400,26452,e1*2007/46*0141*04,BC11,1A02A6ALFMC5,0,0.00,A,P-J,,
18,00PHH8,Personenauto,OPEL,ASTRA SPORTS TOURER,20150430,stationwagen,ROOD,Niet geregistreerd,4,1403,1503,20110128,20110128,Geen verstrekking in Open Data,Ja,4,4,0,0,470,0,M1,2105,0,0.05,269,Nee,Nee,Nee,3355,2022,Logisch,00,Ja,2015-04-30T00:00:00.000,2011-01-28T00:00:00.000,2011-01-28T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. voorzitting,20230430,2023-04-30T00:00:00.000,,,6219,5,1686,2105,730,1200,29634,e4*2007/46*0204*00,BG11,1A07B5BBFFF5,0,0.00,A,P-J/SW,,
19,00PRJ1,Personenauto,OPEL,CORSA,20160926,MPV,ROOD,Niet geregistreerd,4,1099,1199,20110311,20110311,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1635,0,0.06,251,Nee,Nee,Nee,2185,2022,Logisch,00,Ja,2016-09-26T00:00:00.000,2011-03-11T00:00:00.000,2011-03-11T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230926,2023-09-26T00:00:00.000,,,,5,1248,1635,500,500,19305,e1*2001/116*0379*16,PY11,4A12D6A7LJM5,0,0.00,A,S-D,,
20,00SHL2,Personenauto,OPEL,AGILA,20170811,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20110930,20110930,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2017-08-11T00:00:00.000,2011-09-30T00:00:00.000,2011-09-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230810,2023-08-10T00:00:00.000,,,,5,996,1485,,,9070,e4*2001/116*0135*09,AE11,1AAAA1AAAA5,0,,A,H-B,,
21,00ST75,Personenauto,OPEL,GT,20160624,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19710226,19710226,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2019,Geen oordeel,01,Ja,2016-06-24T00:00:00.000,1971-02-26T00:00:00.000,1971-02-26T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,l. in watergoot onder motorkap,,,,,,,,,,,,,,,,,,,,
22,00STF6,Personenauto,OPEL,AGILA,20111125,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20111125,20111125,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2011-11-25T00:00:00.000,2011-11-25T00:00:00.000,2011-11-25T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20221210,2022-12-10T00:00:00.000,,,,5,996,1485,,,8995,e4*2001/116*0135*09,AE11,1AAAA1AAAA5,0,,A,H-B,,
23,00SZJ8,Personenauto,OPEL,AGILA,20120309,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20111227,20111227,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2012-03-09T00:00:00.000,2011-12-27T00:00:00.000,2011-12-27T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20221227,2022-12-27T00:00:00.000,,,,5,996,1485,,,12165,e4*2001/116*0135*10,AE11,1AAAA1AAAA5,0,,A,H-B,,
24,00TBN3,Personenauto,OPEL,CORSA,20190111,MPV,ROOD,Niet geregistreerd,4,1040,1140,20120118,20120118,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,1585,0,0.06,251,Nee,Nee,Nee,2590,2022,Logisch,00,Ja,2019-01-11T00:00:00.000,2012-01-18T00:00:00.000,2012-01-18T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230201,2023-02-01T00:00:00.000,,,2913,5,1398,1585,500,1000,17209,e1*2001/116*0379*16,FR11,1A06A5K0ACG5,0,0.00,C,S-D,,
