,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,vervaldatum_apk,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,vervaldatum_apk_dt,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd
0,0001VH,Personenauto,TOYOTA,CELICA ST,20201203,Niet geregistreerd,WIT,Niet geregistreerd,4,949,1049,19720810,19720810,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,l. tegen schutbord onder motorkap,0,0,0.00,243,Nee,Nee,Nee,0,1997,Geen oordeel,06,Ja,2020-12-03T00:00:00.000,1972-08-10T00:00:00.000,1972-08-10T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,
1,00GPT6,Personenauto,TOYOTA,TOYOTA AYGO,20101110,hatchback,WIT,Niet geregistreerd,3,775,875,20080912,20080912,Geen verstrekking in Open Data,Ja,2,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2010-11-10T00:00:00.000,2008-09-12T00:00:00.000,2008-09-12T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230920,182,4,998,1180,8690,AB1,e11*2001/116*0236*05,KGB10(G),KGB10L-AGMRKW(1F),0,2023-09-20T00:00:00.000,A,,,
2,00HFT4,Personenauto,TOYOTA,TOYOTA AYGO,20200701,hatchback,WIT,Niet geregistreerd,3,805,905,20081113,20081113,Geen verstrekking in Open Data,Ja,4,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Ja,Nee,0,2021,Logisch,00,Ja,2020-07-01T00:00:00.000,2008-11-13T00:00:00.000,2008-11-13T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221203,617,4,998,1190,10349,AB1,e11*2001/116*0236*05,KGB10(H),KGB10L-AHMGKW(1F),0,2022-12-03T00:00:00.000,A,,,
3,00HNR3,Personenauto,TOYOTA,TOYOTA AYGO,20220913,hatchback,WIT,Niet geregistreerd,3,775,875,20090116,20090116,Geen verstrekking in Open Data,Ja,2,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-09-13T00:00:00.000,2009-01-16T00:00:00.000,2009-01-16T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230524,,4,998,1180,8656,AB1,e11*2001/116*0236*05,KGB10(G),KGB10L-AGMRKW(1F),0,2023-05-24T00:00:00.000,A,,,
4,00HNZ5,Personenauto,TOYOTA,TOYOTA AYGO,20090123,hatchback,WIT,Niet geregistreerd,3,805,905,20090123,20090123,Geen verstrekking in Open Data,Ja,4,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2009-01-23T00:00:00.000,2009-01-23T00:00:00.000,2009-01-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230123,,4,998,1190,10448,AB1,e11*2001/116*0236*05,KGB10(H),KGB10L-AHMGKW(1F),0,2023-01-23T00:00:00.000,A,,,
5,00HRD5,Personenauto,TOYOTA,TOYOTA IQ,20160304,coupe,WIT,Niet geregistreerd,3,820,920,20090303,20090303,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2016-03-04T00:00:00.000,2009-03-03T00:00:00.000,2009-03-03T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230303,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2023-03-03T00:00:00.000,A,,,
6,00HTJ9,Personenauto,TOYOTA,TOYOTA AYGO,20150723,hatchback,WIT,Niet geregistreerd,3,780,880,20090225,20090225,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2015-07-23T00:00:00.000,2009-02-25T00:00:00.000,2009-02-25T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230226,,4,998,1190,8879,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMRKW(1G),0,2023-02-26T00:00:00.000,A,,,
7,00HTN3,Personenauto,TOYOTA,TOYOTA IQ,20160415,coupe,WIT,Niet geregistreerd,3,820,920,20090302,20090302,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2016-04-15T00:00:00.000,2009-03-02T00:00:00.000,2009-03-02T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221223,,4,998,1210,12990,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2022-12-23T00:00:00.000,A,,,
8,00JBF7,Personenauto,TOYOTA,TOYOTA IQ,20110608,coupe,WIT,Niet geregistreerd,3,820,920,20090408,20090408,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2011-06-08T00:00:00.000,2009-04-08T00:00:00.000,2009-04-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230426,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2023-04-26T00:00:00.000,A,,,
9,00JBH4,Personenauto,TOYOTA,TOYOTA AYGO,20220516,hatchback,WIT,Niet geregistreerd,3,775,875,20090423,20090423,Geen verstrekking in Open Data,Ja,2,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-05-16T00:00:00.000,2009-04-23T00:00:00.000,2009-04-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230518,,4,998,1180,8689,AB1,e11*2001/116*0236*06,KGB10(G),KGB10L-AGMRKW(1G),0,2023-05-18T00:00:00.000,A,,,
10,00JDD6,Personenauto,TOYOTA,TOYOTA IQ,20160930,coupe,WIT,Niet geregistreerd,3,820,920,20090423,20090423,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2016-09-30T00:00:00.000,2009-04-23T00:00:00.000,2009-04-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230425,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2023-04-25T00:00:00.000,A,,,
11,00JDL8,Personenauto,TOYOTA,TOYOTA IQ,20171117,coupe,WIT,Niet geregistreerd,3,820,920,20090501,20090501,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2017-11-17T00:00:00.000,2009-05-01T00:00:00.000,2009-05-01T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221119,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2022-11-19T00:00:00.000,A,,,
12,00JFJ6,Personenauto,TOYOTA,TOYOTA IQ,20121121,coupe,WIT,Niet geregistreerd,3,820,920,20090506,20090506,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2012-11-21T00:00:00.000,2009-05-06T00:00:00.000,2009-05-06T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221106,,4,998,1210,14715,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2022-11-06T00:00:00.000,A,,,
13,00JFZ8,Personenauto,TOYOTA,TOYOTA AYGO,20110129,hatchback,WIT,Niet geregistreerd,3,805,905,20090509,20090509,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2011-01-29T00:00:00.000,2009-05-09T00:00:00.000,2009-05-09T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221014,,4,998,1190,10564,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMGKW(1G),0,2022-10-14T00:00:00.000,A,,,
14,00JHX2,Personenauto,TOYOTA,YARIS,20180412,stationwagen,WIT,Niet geregistreerd,4,1100,1200,20070630,20090528,Geen verstrekking in Open Data,Ja,4,4,,,,,M1,r. voorzitting,1470,,0.04,246,Nee,Nee,Nee,,2022,Geen oordeel,05,Ja,2018-04-12T00:00:00.000,2007-06-30T00:00:00.000,2009-05-28T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230406,1542,5,1500,1470,,,,,,,2023-04-06T00:00:00.000,,,,
15,00JJH9,Personenauto,TOYOTA,TOYOTA PRIUS,20220912,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090608,20090608,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-09-12T00:00:00.000,2009-06-08T00:00:00.000,2009-06-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221011,,5,1798,1805,31980,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(1A),0,2022-10-11T00:00:00.000,A,0.00,,
16,00JJK7,Personenauto,TOYOTA,TOYOTA PRIUS,20190706,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090609,20090609,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2019-07-06T00:00:00.000,2009-06-09T00:00:00.000,2009-06-09T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230705,,5,1798,1805,31980,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(1A),0,2023-07-05T00:00:00.000,A,0.00,,
17,00JKP2,Personenauto,TOYOTA,TOYOTA IQ,20210724,coupe,WIT,Niet geregistreerd,3,835,935,20090623,20090623,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2021-07-24T00:00:00.000,2009-06-23T00:00:00.000,2009-06-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230506,,4,998,1210,16015,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGXNGW(2A),0,2023-05-06T00:00:00.000,A,,,
18,00JKS5,Personenauto,TOYOTA,TOYOTA PRIUS,20190419,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090623,20090623,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2019-04-19T00:00:00.000,2009-06-23T00:00:00.000,2009-06-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230417,,5,1798,1805,33230,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(2A),0,2023-04-17T00:00:00.000,A,0.00,,
19,00JKV7,Personenauto,TOYOTA,TOYOTA AYGO,20160202,hatchback,WIT,Niet geregistreerd,3,775,875,20090709,20090709,Geen verstrekking in Open Data,Ja,2,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2016-02-02T00:00:00.000,2009-07-09T00:00:00.000,2009-07-09T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20220914,,4,998,1180,8795,AB1,e11*2001/116*0236*06,KGB10(G),KGB10L-AGMRKW(1G),0,2022-09-14T00:00:00.000,A,,,
20,00JLG2,Personenauto,TOYOTA,TOYOTA IQ,20121228,coupe,WIT,Niet geregistreerd,3,835,935,20090703,20090703,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2012-12-28T00:00:00.000,2009-07-03T00:00:00.000,2009-07-03T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230923,,4,998,1210,16865,AJ1(A),e6*2001/116*0119*01,KGJ10(G),KGJ10L-BGXNGW(2B),0,2023-09-23T00:00:00.000,A,,,
21,00JNN6,Personenauto,TOYOTA,TOYOTA YARIS,20180105,MPV,WIT,Niet geregistreerd,4,1015,1115,20090710,20090710,Geen verstrekking in Open Data,Ja,4,4,0,0,379,0,M1,r. op bodemplaat by voorzitting,1480,0,0.07,246,Nee,Nee,Nee,2380,2022,Logisch,00,Ja,2018-01-05T00:00:00.000,2009-07-10T00:00:00.000,2009-07-10T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230716,1699,5,1329,1480,14750,XP9F(A),e11*2001/116*0249*04,NSP90(H),NSP90L-CHFRKW(5E),0,2023-07-16T00:00:00.000,A,,550,900
22,00JNT6,Personenauto,TOYOTA,TOYOTA PRIUS,20100427,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090714,20090714,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2010-04-27T00:00:00.000,2009-07-14T00:00:00.000,2009-07-14T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230613,,5,1798,1805,33230,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(2A),0,2023-06-13T00:00:00.000,A,0.00,,
23,00JPH1,Personenauto,TOYOTA,TOYOTA IQ,20180921,coupe,WIT,Niet geregistreerd,3,820,920,20090725,20090725,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2018-09-21T00:00:00.000,2009-07-25T00:00:00.000,2009-07-25T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230903,,4,998,1210,,AJ1(A),e6*2001/116*0119*01,KGJ10(G),KGJ10L-BGMRGW(2B),0,2023-09-03T00:00:00.000,A,,,
24,00JPL4,Personenauto,TOYOTA,TOYOTA AYGO,20220228,hatchback,WIT,Niet geregistreerd,3,805,905,20090722,20090722,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-02-28T00:00:00.000,2009-07-22T00:00:00.000,2009-07-22T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230724,,4,998,1190,10564,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMGKW(1G),0,2023-07-24T00:00:00.000,A,,,
25,00JPS4,Personenauto,TOYOTA,TOYOTA PRIUS,20180611,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090728,20090728,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2018-06-11T00:00:00.000,2009-07-28T00:00:00.000,2009-07-28T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221127,,5,1798,1805,31980,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(1A),0,2022-11-27T00:00:00.000,A,0.00,,
26,00JRS5,Personenauto,TOYOTA,TOYOTA AYGO,20200811,hatchback,WIT,Niet geregistreerd,3,805,905,20090813,20090813,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2020-08-11T00:00:00.000,2009-08-13T00:00:00.000,2009-08-13T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230813,,4,998,1190,9840,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMGKW(1G),0,2023-08-13T00:00:00.000,A,,,
27,00JRZ6,Personenauto,TOYOTA,TOYOTA AYGO,20150827,hatchback,WIT,Niet geregistreerd,3,805,905,20090807,20090807,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2015-08-27T00:00:00.000,2009-08-07T00:00:00.000,2009-08-07T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230826,,4,998,1190,10564,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMGKW(1G),0,2023-08-26T00:00:00.000,A,,,
28,00JSF2,Personenauto,TOYOTA,TOYOTA PRIUS,20200912,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090827,20090827,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2020-09-12T00:00:00.000,2009-08-27T00:00:00.000,2009-08-27T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230910,,5,1798,1805,33230,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(2A),0,2023-09-10T00:00:00.000,A,0.00,,
29,00JTL3,Personenauto,TOYOTA,TOYOTA PRIUS,20190227,hatchback,WIT,Niet geregistreerd,4,1345,1445,20090915,20090915,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2019-02-27T00:00:00.000,2009-09-15T00:00:00.000,2009-09-15T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230407,,5,1798,1805,31980,XW3(A),e11*2001/116*0264*00,ZVW30(H),ZVW30L-AHXEBW(1A),0,2023-04-07T00:00:00.000,A,0.00,,
30,00JVR3,Personenauto,TOYOTA,TOYOTA AYGO,20220428,hatchback,WIT,Niet geregistreerd,3,805,905,20090910,20090910,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-04-28T00:00:00.000,2009-09-10T00:00:00.000,2009-09-10T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230626,,4,998,1190,10564,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMGKW(1G),0,2023-06-26T00:00:00.000,A,,,
31,00KBL3,Personenauto,TOYOTA,TOYOTA YARIS,20180823,MPV,WIT,Niet geregistreerd,4,1025,1125,20091012,20091012,Geen verstrekking in Open Data,Ja,4,4,0,0,379,0,M1,r. op bodemplaat by voorzitting,1480,1,0.07,246,Nee,Ja,Nee,2380,2021,Logisch,00,Ja,2018-08-23T00:00:00.000,2009-10-12T00:00:00.000,2009-10-12T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230116,2302,5,1329,1480,17149,XP9F(A),e11*2001/116*0249*04,NSP90(H),NSP90L-CHFGKW(3E),0,2023-01-16T00:00:00.000,A,,550,900
