,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,vervaldatum_apk,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,vervaldatum_apk_dt,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd
92,00PLL4,Personenauto,TOYOTA,TOYOTA AURIS,20140418,MPV,WIT,Niet geregistreerd,4,1365,1465,20110218,20110218,Geen verstrekking in Open Data,Ja,4,4,0,0,425,0,M1,by bodemplaat r. voorzitting,1805,0,0.01,260,Nee,Nee,Nee,0,2022,Onlogisch,04,Ja,2014-04-18T00:00:00.000,2011-02-18T00:00:00.000,2011-02-18T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230422,,5,1798,1805,28349,HE15U(A),e11*2007/46*0018*02,ZWE150(H),ZWE150L-DHXGBW(1M),0,2023-04-22T00:00:00.000,A,,,
93,00PNJ6,Personenauto,TOYOTA,TOYOTA AYGO,20211120,hatchback,WIT,Niet geregistreerd,3,780,880,20110228,20110228,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2021-11-20T00:00:00.000,2011-02-28T00:00:00.000,2011-02-28T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221119,,4,998,1190,8440,AB1,e11*2001/116*0236*08,KGB10(H),KGB10L-AHMRKW(3J),0,2022-11-19T00:00:00.000,A,,,
94,00PNP1,Personenauto,TOYOTA,TOYOTA YARIS,20200908,MPV,WIT,Niet geregistreerd,3,960,1060,20110304,20110304,Geen verstrekking in Open Data,Ja,4,4,0,0,379,0,M1,r. op bodemplaat by voorzitting,1440,0,0.05,246,Nee,Nee,Nee,2190,2021,Logisch,00,Ja,2020-09-08T00:00:00.000,2011-03-04T00:00:00.000,2011-03-04T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230108,778,5,998,1440,12035,XP9F(A),e11*2001/116*0249*05,KSP90(H),KSP90L-CHMRKW(1F),0,2023-01-08T00:00:00.000,A,0.00,530,750
95,00PRT5,Personenauto,TOYOTA,TOYOTA AYGO,20220131,hatchback,WIT,Niet geregistreerd,3,815,915,20110408,20110408,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,1,0.05,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-01-31T00:00:00.000,2011-04-08T00:00:00.000,2011-04-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230125,,4,998,1190,11830,AB1,e11*2001/116*0236*08,KGB10(H),KGB10L-AHGGKW(1J),0,2023-01-25T00:00:00.000,A,,,
96,00PTG7,Personenauto,TOYOTA,TOYOTA AURIS,20160401,MPV,WIT,Niet geregistreerd,4,1365,1465,20110407,20110407,Geen verstrekking in Open Data,Ja,4,4,0,0,425,0,M1,by bodemplaat r. voorzitting,1805,0,0.01,260,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2016-04-01T00:00:00.000,2011-04-07T00:00:00.000,2011-04-07T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230407,,5,1798,1805,28489,HE15U(A),e11*2007/46*0018*02,ZWE150(H),ZWE150L-DHXGBW(1M),0,2023-04-07T00:00:00.000,A,,,
97,00PVX1,Personenauto,TOYOTA,TOYOTA PRIUS,20200918,hatchback,WIT,Niet geregistreerd,4,1345,1445,20110416,20110416,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2020-09-18T00:00:00.000,2011-04-16T00:00:00.000,2011-04-16T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20220918,,5,1798,1805,29640,XW3(A),e11*2001/116*0264*02,ZVW30(H),ZVW30L-AHXEBW(1C),0,2022-09-18T00:00:00.000,A,0.00,,
98,00PXD9,Personenauto,TOYOTA,TOYOTA AYGO,20150528,hatchback,WIT,Niet geregistreerd,3,815,915,20110402,20110402,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,1,0.05,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2015-05-28T00:00:00.000,2011-04-02T00:00:00.000,2011-04-02T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230213,,4,998,1190,11830,AB1,e11*2001/116*0236*08,KGB10(H),KGB10L-AHGGKW(1J),0,2023-02-13T00:00:00.000,A,,,
99,00PXS1,Personenauto,TOYOTA,TOYOTA AURIS,20141121,MPV,WIT,Niet geregistreerd,4,1365,1465,20110407,20110407,Geen verstrekking in Open Data,Ja,4,4,0,0,425,0,M1,by bodemplaat r. voorzitting,1805,0,0.01,260,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2014-11-21T00:00:00.000,2011-04-07T00:00:00.000,2011-04-07T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221120,,5,1798,1805,27650,HE15U(A),e11*2007/46*0018*02,ZWE150(H),ZWE150L-DHXGBW(1M),0,2022-11-20T00:00:00.000,A,,,
100,00RBD8,Personenauto,TOYOTA,TOYOTA AYGO,20190508,hatchback,WIT,Niet geregistreerd,3,815,915,20110429,20110429,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,1,0.05,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2019-05-08T00:00:00.000,2011-04-29T00:00:00.000,2011-04-29T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230616,,4,998,1190,11830,AB1,e11*2001/116*0236*08,KGB10(H),KGB10L-AHGGKW(1J),0,2023-06-16T00:00:00.000,A,,,
101,00RDB5,Personenauto,TOYOTA,TOYOTA PRIUS,20110520,hatchback,WIT,Niet geregistreerd,4,1345,1445,20110520,20110520,Geen verstrekking in Open Data,Ja,4,4,0,0,446,0,M1,by bodemplaat r. voorzitting,1805,0,0.00,270,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2011-05-20T00:00:00.000,2011-05-20T00:00:00.000,2011-05-20T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230608,,5,1798,1805,32190,XW3(A),e11*2001/116*0264*02,ZVW30(H),ZVW30L-AHXEBW(1C),0,2023-06-08T00:00:00.000,A,0.00,,
