;kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;vervaldatum_apk_dt;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximale_constructiesnelheid;maximum_trekken_massa_geremd;hoogte_voertuig;hoogte_voertuig_minimum;hoogte_voertuig_maximum;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
906;01BGP1;Bedrijfsauto;VOLVO;FL;20151125;gecond. met temperatuurreg.;N.v.t.;N.v.t.;6;8500;8600;20151117;20151117;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.02;500;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2015-11-25T00:00:00.000;2015-11-17T00:00:00.000;2015-11-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230629;0;0;870;260;16000;0;0;2023-06-29T00:00:00.000;0;2;7698;16000;7500;0;0;FLB3C;0;20230831;2023-08-31T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
907;01BGP7;Bedrijfsauto;VOLVO;FH;20160102;opleggertrekker;N.v.t.;N.v.t.;6;7321;7421;20160102;20160102;Geen verstrekking in Open Data;Ja;2;6;N3;op balk v. r.;0.04;360;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-01-02T00:00:00.000;2016-01-02T00:00:00.000;2016-01-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230102;0;407;579;254;22000;0;50000;2023-01-02T00:00:00.000;0;2;12777;20500;0;0;0;24A3C;0;20231230;2023-12-30T00:00:00.000;42579;e11*2007/46*0271*11;C3XA4F;N5RR3L69013XX3H4KUUA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
908;01BGP8;Bedrijfsauto;VOLVO;FL;20171121;containercarrier;N.v.t.;N.v.t.;6;8643;8743;20151209;20151209;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.02;350;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2017-11-21T00:00:00.000;2015-12-09T00:00:00.000;2015-12-09T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221209;0;0;640;250;18000;0;0;2022-12-09T00:00:00.000;0;2;7698;11990;3347;0;0;FLB3C;0;20231102;2023-11-02T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
909;01BGR1;Bedrijfsauto;VOLVO;FM 420 10X4R;20151217;betonmixer;N.v.t.;N.v.t.;6;17760;17860;20151202;20151215;Geen verstrekking in Open Data;Ja;0;10;N3;r. balk v. vooras;0.02;784;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2015-12-17T00:00:00.000;2015-12-02T00:00:00.000;2015-12-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230926;0;0;1104;255;54000;0;0;2023-09-26T00:00:00.000;0;2;12777;49000;31240;0;0;0;0;20230730;2023-07-30T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
910;01BGR2;Bedrijfsauto;VOLVO;FH;20160105;opleggertrekker;N.v.t.;N.v.t.;6;8921;9021;20160105;20160105;Geen verstrekking in Open Data;Ja;2;8;N3;op balk v. r.;0.04;410;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-01-05T00:00:00.000;2016-01-05T00:00:00.000;2016-01-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230107;0;489;651;254;27000;0;50000;2023-01-07T00:00:00.000;0;2;12777;27000;0;0;0;24G3C;750;20231220;2023-12-20T00:00:00.000;40979;e11*2007/46*0273*12;C3XP6S;N5RR3M68019753H4KAUA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
911;01BGX1;Bedrijfsauto;VOLVO;FM;20160224;gesloten opbouw;N.v.t.;N.v.t.;6;12029;12129;20160218;20160218;Geen verstrekking in Open Data;Ja;0;6;N3;r. balk by vooras;0.03;657;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-02-24T00:00:00.000;2016-02-18T00:00:00.000;2016-02-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230506;0;985;995;255;28000;0;50000;2023-05-06T00:00:00.000;0;2;10837;28000;15971;27800;14100;2MJ3C;750;20240429;2024-04-29T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912;01BGX4;Bedrijfsauto;VOLVO;FH;20171025;opleggertrekker;N.v.t.;N.v.t.;6;8230;8330;20160318;20160318;Geen verstrekking in Open Data;Ja;2;6;N3;op balk v. r.;0.05;380;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2017-10-25T00:00:00.000;2016-03-18T00:00:00.000;2016-03-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230318;0;457;599;254;21000;0;50000;2023-03-18T00:00:00.000;0;2;12777;19500;0;0;0;VTA3T;750;20240217;2024-02-17T00:00:00.000;41670;e11*2007/46*3086*00;C3FHA1;N5RR3N68013XX3H4KUUA;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0
913;01BGX8;Bedrijfsauto;VOLVO;FH;20160302;gecond. met temperatuurreg.;N.v.t.;N.v.t.;6;12555;12655;20160226;20160226;Geen verstrekking in Open Data;Ja;0;6;N3;r. balk by vooras;0.03;657;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-03-02T00:00:00.000;2016-02-26T00:00:00.000;2016-02-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231001;0;873;1056;260;27000;0;50000;2023-10-01T00:00:00.000;0;2;12777;27000;14445;40000;24000;24J3C;750;20240516;2024-05-16T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
914;01BGZ4;Bedrijfsauto;VOLVO;FH;20160401;opleggertrekker;N.v.t.;N.v.t.;6;8491;8591;20160401;20160401;Geen verstrekking in Open Data;Ja;2;6;N3;op balk v. r.;0.04;380;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-04-01T00:00:00.000;2016-04-01T00:00:00.000;2016-04-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230401;0;457;621;254;21000;0;50000;2023-04-01T00:00:00.000;0;2;12777;19500;0;0;0;VTA3T;750;20240225;2024-02-25T00:00:00.000;41409;e11*2007/46*3086*00;C3FHA1;N5RR3N68013XX3H4KUUA;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0
915;01BHD7;Bedrijfsauto;VOLVO;FH;20160423;opleggertrekker;N.v.t.;N.v.t.;6;8291;8391;20160423;20160423;Geen verstrekking in Open Data;Ja;2;6;N3;op balk v. r.;0.04;380;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-04-23T00:00:00.000;2016-04-23T00:00:00.000;2016-04-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230423;0;459;599;254;21000;0;50000;2023-04-23T00:00:00.000;0;2;12777;19500;0;0;0;VTA3T;750;20240316;2024-03-16T00:00:00.000;41609;e11*2007/46*3086*01;C3FHA1;N5RR3M68013XX3H5TUUC;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0
916;01BHG8;Bedrijfsauto;VOLVO;FH;20190402;opleggertrekker;N.v.t.;N.v.t.;6;8247;8347;20160524;20160524;Geen verstrekking in Open Data;Ja;2;6;N3;op balk v. r.;0.04;380;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2019-04-02T00:00:00.000;2016-05-24T00:00:00.000;2016-05-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230529;0;457;599;252;21000;0;50000;2023-05-29T00:00:00.000;0;2;12777;19500;0;0;0;VTA3T;750;20230210;2023-02-10T00:00:00.000;41653;e11*2007/46*3086*00;C3FHA1;N5RR3N68013XX3H4KUUC;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0
917;01BHJ3;Bedrijfsauto;VOLVO;FH16;20160701;opleggertrekker;N.v.t.;N.v.t.;6;13315;13415;20160616;20160616;Geen verstrekking in Open Data;Ja;0;12;N3;r. balk by vooras;0.04;507;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-07-01T00:00:00.000;2016-06-16T00:00:00.000;2016-06-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230616;0;0;760;255;45000;0;50000;2023-06-16T00:00:00.000;0;2;16123;37000;0;0;0;VTS3T;750;20240420;2024-04-20T00:00:00.000;36585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
918;01BHJ6;Bedrijfsauto;VOLVO;FH;20201201;voertuig met haakarm;N.v.t.;N.v.t.;6;13975;14075;20160622;20160622;Geen verstrekking in Open Data;Ja;0;10;N3;r. balk by vooras;0.03;654;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2020-12-01T00:00:00.000;2016-06-22T00:00:00.000;2016-06-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230630;0;880;870;255;40000;0;50000;2023-06-30T00:00:00.000;0;2;12777;36000;22025;20000;0;24V3C;750;20240610;2024-06-10T00:00:00.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
