;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;type_gasinstallatie;maximum_trekken_massa_geremd;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
171;7VTZ57;Bedrijfsauto;FORD;TRANSIT CONNECT;20230820;20120412;6160;gesloten opbouw;2;N.v.t.;N.v.t.;4;1753;1407;2340;1507;735;20120412;20120412;Geen verstrekking in Open Data;24783;Ja;933;1200;1200;0;4;0;0;457;180;N1;r. bodemplaat by voorzitting;2340;PU2;e1*2007/46*0272*02;P9PCB;G2ACBA;0;0.00;291;Nee;Nee;Nee;3140;0;2022;Logisch;00;Ja;2023-08-20T00:00:00.000;2012-04-12T00:00:00.000;2012-04-12T00:00:00.000;2012-04-12T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
172;7VTZ58;Bedrijfsauto;VOLKSWAGEN;TRANSPORT;20221201;20220904;0;gesloten opbouw;5;N.v.t.;N.v.t.;5;2500;2150;2800;2250;750;20041201;20120328;Geen verstrekking in Open Data;0;Ja;650;2400;2400;0;4;0;0;0;190;N1;schutbord;2800;0;0;0;0;0;0.04;340;Nee;Nee;Nee;5200;0;2022;Geen oordeel;05;Ja;2022-12-01T00:00:00.000;2022-09-04T00:00:00.000;2004-12-01T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
173;7VTZ61;Bedrijfsauto;OPEL;COMBO;20230712;20190912;4733;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1220;1720;1320;550;20120330;20120330;Geen verstrekking in Open Data;18870;Ja;500;1000;1000;0;4;0;0;432;168;N1;r. voorzitting;1835;COMBO-C-VAN;e1*2007/46*0129*03;BG11;4A09EECBA2;0;0.04;272;Nee;Nee;Nee;2815;0;2022;Logisch;00;Ja;2023-07-12T00:00:00.000;2019-09-12T00:00:00.000;2012-03-30T00:00:00.000;2012-03-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
174;7VTZ64;Bedrijfsauto;OPEL;VIVARO;20230701;20220701;8051;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1853;3030;1953;750;20120328;20120328;Geen verstrekking in Open Data;32660;Ja;1177;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;3030;F7;e1*2007/46*0575*07;B0B6;E1ATG3;0;0.03;350;Nee;Nee;Nee;5030;0;2022;Logisch;00;Ja;2023-07-01T00:00:00.000;2022-07-01T00:00:00.000;2012-03-28T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
175;7VTZ65;Bedrijfsauto;OPEL;COMBO VAN;20230616;20220216;6492;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1305;2330;1405;500;20120328;20120328;Geen verstrekking in Open Data;26180;Ja;1025;1000;1000;0;4;0;0;0;183;N1;by bodemplaat r. voorzitting;2330;COMBO-D-VAN;e3*2007/46*0076*02;WXC1A;A5D;0;0.05;311;Nee;Nee;Nee;3330;0;2022;Logisch;00;Ja;2023-06-16T00:00:00.000;2022-02-16T00:00:00.000;2012-03-28T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
176;7VTZ66;Bedrijfsauto;OPEL;COMBO VAN;20230715;20170628;6492;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1305;2330;1405;500;20120328;20120328;Geen verstrekking in Open Data;26180;Ja;1025;1000;1000;0;4;0;0;0;183;N1;by bodemplaat r. voorzitting;2330;COMBO-D-VAN;e3*2007/46*0076*02;WXC1A;A5D;0;0.05;311;Nee;Nee;Nee;3330;0;2022;Logisch;00;Ja;2023-07-15T00:00:00.000;2017-06-28T00:00:00.000;2012-03-28T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
177;7VTZ68;Bedrijfsauto;OPEL;COMBO VAN;20230414;20141209;6469;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1305;2330;1405;500;20120406;20120406;Geen verstrekking in Open Data;26086;Ja;1025;1000;1000;0;4;0;0;0;183;N1;by bodemplaat r. voorzitting;2330;COMBO-D-VAN;e3*2007/46*0076*02;WXC1A;A5D;0;0.05;311;Nee;Nee;Nee;3330;0;2022;Logisch;00;Ja;2023-04-14T00:00:00.000;2014-12-09T00:00:00.000;2012-04-06T00:00:00.000;2012-04-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
178;7VTZ69;Bedrijfsauto;OPEL;COMBO VAN;20230624;20211103;6884;gesloten opbouw;2;N.v.t.;N.v.t.;4;1598;1345;2370;1445;500;20120406;20120406;Geen verstrekking in Open Data;27810;Ja;1025;1300;1300;0;4;0;0;0;183;N1;by bodemplaat r. voorzitting;2370;COMBO-D-VAN;e3*2007/46*0076*02;WXD1B;A8G;0;0.05;311;Nee;Nee;Nee;3500;0;2022;Logisch;00;Ja;2023-06-24T00:00:00.000;2021-11-03T00:00:00.000;2012-04-06T00:00:00.000;2012-04-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
179;7VTZ70;Bedrijfsauto;OPEL;COMBO VAN;20230415;20220404;6186;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1245;2020;1345;500;20120406;20120406;Geen verstrekking in Open Data;24910;Ja;775;1000;1000;0;4;0;0;0;183;N1;by bodemplaat r. voorzitting;2020;COMBO-D-VAN;e3*2007/46*0076*02;ZXC1A;A4;0;0.05;276;Nee;Nee;Nee;3020;0;2022;Logisch;00;Ja;2023-04-15T00:00:00.000;2022-04-04T00:00:00.000;2012-04-06T00:00:00.000;2012-04-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
180;7VTZ71;Bedrijfsauto;OPEL;MOVANO;20220401;20140430;10354;gesloten opbouw;3;N.v.t.;N.v.t.;4;2299;1973;3500;2073;750;20120330;20120330;Geen verstrekking in Open Data;42234;Ja;1527;2500;2500;0;4;0;0;555;207;N1;r. deurdorpel;3500;MR;e1*2007/46*0362*03;FEDC;A1ADB3;0;0.04;368;Nee;Nee;Nee;6000;0;2021;Logisch;00;Ja;2022-04-01T00:00:00.000;2014-04-30T00:00:00.000;2012-03-30T00:00:00.000;2012-03-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
