;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;type_gasinstallatie;maximum_trekken_massa_geremd;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
0;7VTV11;Bedrijfsauto;FORD;TRANSIT/TOURNEO;20230701;20120316;9760;gesloten opbouw;6;N.v.t.;N.v.t.;4;2198;1809;2625;1909;750;20120316;20120316;Geen verstrekking in Open Data;39748;Ja;816;2000;2000;0;4;0;0;0;197;N1;r. voorwielscherm by vooras;2625;FAE6;e1*2007/46*0243*02;CYFA1A;A6ESEF;0;0.05;293;Nee;Nee;Nee;4625;0;2022;Logisch;00;Ja;2023-07-01T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
1;7VTV12;Bedrijfsauto;FORD;TRANSIT/TOURNEO;20230316;20120918;10175;gesloten opbouw;6;N.v.t.;N.v.t.;4;2198;1845;2625;1945;750;20120316;20120316;Geen verstrekking in Open Data;41472;Ja;780;2000;2000;0;4;0;0;0;197;N1;r. voorwielscherm by vooras;2625;FAE6;e1*2007/46*0243*02;UHFA1A;A6ESEF;0;0.05;293;Nee;Nee;Nee;4625;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2012-09-18T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
2;7VTV13;Bedrijfsauto;FORD;TRANSIT 260S VAN 115DPF 4.36;20230419;20190406;8610;gesloten opbouw;3;N.v.t.;N.v.t.;4;2198;1670;2600;1770;750;20120319;20120319;Geen verstrekking in Open Data;34969;Ja;930;2000;2000;0;4;0;0;0;197;N1;tegen r. voorwielscherm v. vooras;2600;0;0;0;0;0;0.05;293;Nee;Nee;Nee;4600;0;2022;Logisch;00;Ja;2023-04-19T00:00:00.000;2019-04-06T00:00:00.000;2012-03-19T00:00:00.000;2012-03-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
3;7VTV14;Bedrijfsauto;IVECO;DAILY 35C12V;20230820;20210528;11160;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;2270;3500;2370;750;20090629;20140701;Geen verstrekking in Open Data;0;Ja;1230;3500;3500;0;4;0;0;0;198;N1;r. balk a. vooras;3500;0;0;0;0;0;0.04;330;Nee;Nee;Nee;7000;0;2022;Geen oordeel;05;Ja;2023-08-20T00:00:00.000;2021-05-28T00:00:00.000;2009-06-29T00:00:00.000;2014-07-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
4;7VTV17;Bedrijfsauto;OPEL;COMBO;20230211;20220725;4906;gesloten opbouw;2;N.v.t.;N.v.t.;4;1686;1220;1720;1320;550;20120320;20120320;Geen verstrekking in Open Data;19590;Ja;500;1000;1000;0;4;0;0;432;168;N1;r. voorzitting;1840;COMBO-C-VAN;e1*2007/46*0129*03;AF11;1A09KKBDB2;0;0.06;272;Nee;Nee;Nee;2815;0;2022;Logisch;00;Ja;2023-02-11T00:00:00.000;2022-07-25T00:00:00.000;2012-03-20T00:00:00.000;2012-03-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
5;7VTV18;Bedrijfsauto;OPEL;VIVARO;20230417;20171004;8706;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1801;2790;1901;750;20120316;20120316;Geen verstrekking in Open Data;35385;Ja;989;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*07;A1A6;E1ARG3;0;0.04;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-04-17T00:00:00.000;2017-10-04T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
6;7VTV21;Bedrijfsauto;OPEL;VIVARO;20230706;20170711;7809;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1743;2790;1843;750;20120319;20120319;Geen verstrekking in Open Data;31656;Ja;1047;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*05;A0AE;E1APG3;0;0.04;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-07-06T00:00:00.000;2017-07-11T00:00:00.000;2012-03-19T00:00:00.000;2012-03-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
7;7VTV22;Bedrijfsauto;OPEL;VIVARO;20230501;20190528;9892;gesloten opbouw;6;N.v.t.;N.v.t.;4;1995;1931;3030;2031;750;20120315;20120315;Geen verstrekking in Open Data;40314;Ja;1099;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;3030;F7;e1*2007/46*0575*07;B1BE;E1ASD3;0;0.04;350;Nee;Nee;Nee;5030;0;2022;Logisch;00;Ja;2023-05-01T00:00:00.000;2019-05-28T00:00:00.000;2012-03-15T00:00:00.000;2012-03-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
8;7VTV25;Bedrijfsauto;OPEL;VIVARO;20230316;20120316;7811;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1801;2790;1901;750;20120316;20120316;Geen verstrekking in Open Data;31664;Ja;989;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*07;A0AE;E1ARG3;0;0.03;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
9;7VTV26;Bedrijfsauto;OPEL;MOVANO;20230329;20200818;12071;gesloten opbouw;3;N.v.t.;N.v.t.;4;2299;1973;3500;2073;750;20120328;20120328;Geen verstrekking in Open Data;49371;Ja;1527;2500;2500;0;4;0;0;555;207;N1;r. deurdorpel;3500;MR;e1*2007/46*0362*06;FEFC;A1ADB3;0;0.05;368;Nee;Nee;Nee;6000;0;2022;Logisch;00;Ja;2023-03-29T00:00:00.000;2020-08-18T00:00:00.000;2012-03-28T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
10;7VTV28;Bedrijfsauto;OPEL;VIVARO;20230327;20120327;8825;gesloten opbouw;3;N.v.t.;N.v.t.;4;2464;1853;3035;1953;750;20120327;20120327;Geen verstrekking in Open Data;35879;Ja;1182;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;3035;F7;e1*2007/46*0575*04;BJB6;E1ATG3;0;0.05;350;Nee;Nee;Nee;5035;0;2022;Logisch;00;Ja;2023-03-27T00:00:00.000;2012-03-27T00:00:00.000;2012-03-27T00:00:00.000;2012-03-27T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
11;7VTV29;Bedrijfsauto;OPEL;VIVARO;20230215;20161214;7717;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1801;2790;1901;750;20120320;20120320;Geen verstrekking in Open Data;31273;Ja;989;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*07;A0A6;E1ARG3;0;0.03;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-02-15T00:00:00.000;2016-12-14T00:00:00.000;2012-03-20T00:00:00.000;2012-03-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
12;7VTV30;Bedrijfsauto;OPEL;VIVARO;20230104;20220831;9093;gesloten opbouw;6;N.v.t.;N.v.t.;4;1995;1931;3030;2031;750;20120319;20120319;Geen verstrekking in Open Data;36992;Ja;1099;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;3030;F7;e1*2007/46*0575*07;B0B6;E1ASG2;0;0.03;350;Nee;Nee;Nee;5030;0;2022;Logisch;00;Ja;2023-01-04T00:00:00.000;2022-08-31T00:00:00.000;2012-03-19T00:00:00.000;2012-03-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
13;7VTV31;Bedrijfsauto;OPEL;MOVANO;20230829;20180830;11200;gesloten opbouw;3;N.v.t.;N.v.t.;4;2299;1973;3500;2073;750;20120322;20120322;Geen verstrekking in Open Data;45751;Ja;1527;2500;2500;0;4;0;0;555;207;N1;r. deurdorpel;3500;MR;e1*2007/46*0362*06;FFDC;A1ADB3;0;0.04;368;Nee;Nee;Nee;6000;0;2022;Logisch;00;Ja;2023-08-29T00:00:00.000;2018-08-30T00:00:00.000;2012-03-22T00:00:00.000;2012-03-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
14;7VTV34;Bedrijfsauto;FIAT;SCUDO;20230104;20220419;7765;gesloten opbouw;3;N.v.t.;N.v.t.;4;1997;1645;2702;1745;750;20090223;20121126;Geen verstrekking in Open Data;0;Ja;1057;2000;2000;0;4;0;0;0;190;N1;schutbord a. motorruimte;2702;0;0;0;0;0;0.05;300;Nee;Nee;Nee;4702;0;2022;Geen oordeel;05;Ja;2023-01-04T00:00:00.000;2022-04-19T00:00:00.000;2009-02-23T00:00:00.000;2012-11-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
15;7VTV35;Bedrijfsauto;IVECO;40C17D/T EURO V HD EEV;20220830;20171117;13694;opleggertrekker;7;N.v.t.;N.v.t.;4;2998;2060;3500;2160;750;20120824;20120824;Geen verstrekking in Open Data;56058;Ja;0;0;0;0;4;0;0;0;203;N1;r. balk by vooras;3500;0;0;0;0;0;0.06;450;Nee;Nee;Nee;10000;0;2021;Logisch;00;Ja;2022-08-30T00:00:00.000;2017-11-17T00:00:00.000;2012-08-24T00:00:00.000;2012-08-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;7200;20180722;2018-07-22T00:00:00.000;0;0;0;0;0
16;7VTV37;Bedrijfsauto;MERCEDES-BENZ;SPRINTER;20230506;20180309;17352;gesloten opbouw;3;N.v.t.;N.v.t.;6;2987;2648;3500;2748;750;20120306;20120320;Geen verstrekking in Open Data;71264;Ja;852;3500;3500;0;4;0;0;695;199;N1;schutbord motorruimte;3500;906BB50;e1*2007/46*0295*03;LMNE1350N;LFC33WD3;0;0.05;433;Nee;Nee;Nee;7000;0;2022;Logisch;00;Ja;2023-05-06T00:00:00.000;2018-03-09T00:00:00.000;2012-03-06T00:00:00.000;2012-03-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
17;7VTV41;Bedrijfsauto;FIAT;FIAT FIORINO;20230323;20120323;5424;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1065;1700;1165;400;20120323;20120323;Geen verstrekking in Open Data;21703;Ja;635;1000;1000;0;4;0;0;386;172;N1;r. voorzitting;1700;225;e3*2007/46*0011*06;BXE1A;B0C;0;0.06;251;Nee;Nee;Nee;2700;0;2022;Logisch;00;Ja;2023-03-23T00:00:00.000;2012-03-23T00:00:00.000;2012-03-23T00:00:00.000;2012-03-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
18;7VTV44;Bedrijfsauto;FIAT;FIAT DOBLO;20230316;20120316;5901;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1245;2020;1345;500;20120316;20120316;Geen verstrekking in Open Data;23364;Ja;775;1000;1000;0;4;0;0;439;183;N1;r. voorzitting;2020;263;e3*2007/46*0002*00;ZXC1A;A4;0;0.05;276;Nee;Nee;Nee;3020;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
19;7VTV48;Bedrijfsauto;DODGE;DODGE RAM;20221229;20151230;11458;open wagen;5;N.v.t.;N.v.t.;8;5654;2660;3500;2760;750;20120323;20120323;Geen verstrekking in Open Data;51675;Ja;840;3500;3500;0;4;0;0;0;205;N1;r. balk a. vooras;3500;0;0;0;0;0;0.11;357;Nee;Ja;Nee;0;0;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2015-12-30T00:00:00.000;2012-03-23T00:00:00.000;2012-03-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;G3 gasinstallatie;0;0;0;0
20;7VTV50;Bedrijfsauto;FIAT;FIAT DUCATO;20220608;20220721;13773;gesloten opbouw;2;N.v.t.;N.v.t.;4;2999;2108;3500;2208;750;20120608;20120608;Geen verstrekking in Open Data;56404;Ja;1392;3000;3000;0;4;0;0;600;205;N1;r. voorwielscherm by vooras;3500;250;e3*2007/46*0044*02;DPMFC;FY 1;0;0.06;404;Nee;Nee;Nee;6500;0;2022;Logisch;00;Ja;2022-06-08T00:00:00.000;2022-07-21T00:00:00.000;2012-06-08T00:00:00.000;2012-06-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;20231105;2023-11-05T00:00:00.000;0;0;0;0;0
21;7VTV52;Bedrijfsauto;MERCEDES-BENZ;208 CDI;20221108;20170919;0;gesloten opbouw;3;N.v.t.;N.v.t.;4;2148;1960;2950;2060;750;20021112;20021112;Geen verstrekking in Open Data;0;Ja;990;2000;2000;0;4;0;0;0;193;N1;boven r. balk tegen voorwielscherm 020 cm a. vooras;2950;0;0;0;0;0;0.03;300;Nee;Nee;Nee;4950;0;2021;Logisch;00;Ja;2022-11-08T00:00:00.000;2017-09-19T00:00:00.000;2002-11-12T00:00:00.000;2002-11-12T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
22;7VTV53;Bedrijfsauto;MERCEDES-BENZ;SPRINTER;20230326;20120329;13054;gesloten opbouw;3;N.v.t.;N.v.t.;4;2143;2410;3500;2510;750;20120313;20120313;Geen verstrekking in Open Data;53397;Ja;1090;2000;2000;0;4;0;0;591;199;N1;schutbord motorruimte;3500;906BB35;e1*2007/46*0301*02;LMMC1350N;MCC2K5A3;0;0.04;367;Nee;Nee;Nee;5500;0;2022;Logisch;00;Ja;2023-03-26T00:00:00.000;2012-03-29T00:00:00.000;2012-03-13T00:00:00.000;2012-03-13T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
23;7VTV54;Bedrijfsauto;VOLKSWAGEN;CRAFTER;20230129;20200511;11988;gesloten opbouw;3;N.v.t.;N.v.t.;4;1968;2890;3500;2990;750;20120314;20120314;Geen verstrekking in Open Data;31075;Ja;610;2000;2000;0;4;0;0;0;220;N1;r. motorruimte;3500;0;0;0;0;0;0.04;433;Nee;Nee;Nee;5500;0;2022;Logisch;00;Ja;2023-01-29T00:00:00.000;2020-05-11T00:00:00.000;2012-03-14T00:00:00.000;2012-03-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
24;7VTV55;Bedrijfsauto;IVECO;35C17 EURO V HD EEV;20221015;20220630;0;opleggertrekker;3;N.v.t.;N.v.t.;4;2998;1990;3500;2090;0;20120306;20120306;Geen verstrekking in Open Data;0;Ja;0;0;0;0;4;0;0;0;203;N2;r. balk by vooras;4000;0;0;0;0;0;0.06;300;Nee;Nee;Nee;9140;0;2022;Logisch;00;Ja;2022-10-15T00:00:00.000;2022-06-30T00:00:00.000;2012-03-06T00:00:00.000;2012-03-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;7050;20200314;2020-03-14T00:00:00.000;0;0;0;0;0
25;7VTV56;Bedrijfsauto;MERCEDES-BENZ;VITO;20230225;20141103;9699;gesloten opbouw;6;N.v.t.;N.v.t.;4;2143;1952;2500;2052;750;20120323;20120323;Geen verstrekking in Open Data;39454;Ja;548;2000;2000;0;4;0;0;501;191;N1;schutbord motorruimte;2500;639/4;e1*2007/46*0458*02;VAA11250N;2M4A1R23;0;0.03;320;Nee;Ja;Nee;4500;0;2022;Logisch;00;Ja;2023-02-25T00:00:00.000;2014-11-03T00:00:00.000;2012-03-23T00:00:00.000;2012-03-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
26;7VTV57;Bedrijfsauto;MERCEDES-BENZ;VITO;20230410;20120322;14710;gesloten opbouw;6;N.v.t.;N.v.t.;4;2143;2035;2800;2135;750;20120322;20120322;Geen verstrekking in Open Data;60283;Ja;765;2500;2500;0;4;0;0;501;191;N1;schutbord motorruimte;2800;639/4;e1*2007/46*0458*02;VAA71280N;2A2G1S36;0;0.05;320;Nee;Ja;Nee;5100;0;2022;Logisch;00;Ja;2023-04-10T00:00:00.000;2012-03-22T00:00:00.000;2012-03-22T00:00:00.000;2012-03-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
27;7VTV59;Bedrijfsauto;CHEVROLET;C 10 SILVERADO;20240629;20130902;0;open wagen;3;N.v.t.;N.v.t.;8;7400;2092;2451;2192;750;19780228;20120314;Geen verstrekking in Open Data;0;Ja;359;2000;2000;0;4;0;0;0;200;N1;r. balk v. vooras;2451;0;0;0;0;0;0.08;299;Nee;Nee;Nee;0;0;2022;Onlogisch;04;Ja;2024-06-29T00:00:00.000;2013-09-02T00:00:00.000;1978-02-28T00:00:00.000;2012-03-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
28;7VTV60;Bedrijfsauto;IVECO;35C17;20230321;20220531;13875;opleggertrekker;3;N.v.t.;N.v.t.;4;2998;1970;3500;2070;0;20120501;20120501;Geen verstrekking in Open Data;56810;Ja;0;0;0;0;4;0;0;0;203;N1;r. balk by vooras;3500;0;0;0;0;0;0.06;300;Nee;Nee;Nee;10000;0;2022;Logisch;00;Ja;2023-03-21T00:00:00.000;2022-05-31T00:00:00.000;2012-05-01T00:00:00.000;2012-05-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;7650;20140403;2014-04-03T00:00:00.000;0;0;0;0;0
29;7VTV61;Bedrijfsauto;IVECO;40C15;20230708;20120720;13826;gesloten opbouw;3;N.v.t.;N.v.t.;4;2998;2481;3500;2581;750;20120406;20120406;Geen verstrekking in Open Data;56607;Ja;1019;3500;3500;0;4;0;0;0;200;N2;r. balk by vooras;4200;IS56CC2BA;e3*2007/46*0119*01;FG11C1C;DA14FA3B6XX66;0;0.04;330;Nee;Nee;Nee;7700;0;2022;Logisch;00;Ja;2023-07-08T00:00:00.000;2012-07-20T00:00:00.000;2012-04-06T00:00:00.000;2012-04-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
