;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
0;0004ZT;Personenauto;BMW;2002AUTOMATIC;20140221;20150921;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1044;1144;19730105;19730105;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;G2 gasinstallatie;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;07;Ja;2014-02-21T00:00:00.000;2015-09-21T00:00:00.000;1973-01-05T00:00:00.000;1973-01-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0017JU;Personenauto;BMW;1600 CABRIOLET;0;19971024;Niet geregistreerd;WIT;Niet geregistreerd;4;956;1056;19691015;19691015;Geen verstrekking in Open Data;Nee;2;4;M1;0;0;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;0;1997-10-24T00:00:00.000;1969-10-15T00:00:00.000;1969-10-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0098EF;Personenauto;BMW;1600 - 2;0;19881213;Niet geregistreerd;CREME;Niet geregistreerd;4;920;1020;19670601;19670601;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;0;1988-12-13T00:00:00.000;1967-06-01T00:00:00.000;1967-06-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;00EU01;Personenauto;BMW;1602;20240528;19770315;Niet geregistreerd;GEEL;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Logisch;00;Ja;2024-05-28T00:00:00.000;1977-03-15T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;00EU06;Personenauto;BMW;1602;20240826;19921127;Niet geregistreerd;ROOD;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-08-26T00:00:00.000;1992-11-27T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;00EV06;Personenauto;BMW;1602;20200409;20200828;Niet geregistreerd;BEIGE;Niet geregistreerd;4;980;1080;19750113;19750113;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;2020-04-09T00:00:00.000;2020-08-28T00:00:00.000;1975-01-13T00:00:00.000;1975-01-13T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;00FA17;Personenauto;BMW;2002 AUTOMATIC;20080227;20161122;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1000;1100;19750220;19750220;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2007;Geen oordeel;01;Ja;2008-02-27T00:00:00.000;2016-11-22T00:00:00.000;1975-02-20T00:00:00.000;1975-02-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;00FG17;Personenauto;BMW;2002;0;19880125;Niet geregistreerd;ROOD;Niet geregistreerd;4;1000;1100;19750416;19750416;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;0;1988-01-25T00:00:00.000;1975-04-16T00:00:00.000;1975-04-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;00FP46;Personenauto;BMW;2002;20221228;20040409;Niet geregistreerd;GROEN;Niet geregistreerd;4;1000;1100;19750417;19750417;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;2022-12-28T00:00:00.000;2004-04-09T00:00:00.000;1975-04-17T00:00:00.000;1975-04-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;00FR38;Personenauto;BMW;2002 TII;20020731;20201009;Niet geregistreerd;BEIGE;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2001;Geen oordeel;01;Ja;2002-07-31T00:00:00.000;2020-10-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;00FT17;Personenauto;BMW;2002;20230901;20150511;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Logisch;00;Ja;2023-09-01T00:00:00.000;2015-05-11T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;00FT19;Personenauto;BMW;2002;20240418;20210709;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-04-18T00:00:00.000;2021-07-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;00FT28;Personenauto;BMW;TOURING 2000 TII;20230617;20150303;Niet geregistreerd;CREME;Niet geregistreerd;4;1060;1160;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2023-06-17T00:00:00.000;2015-03-03T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;00FU55;Personenauto;BMW;1602;20230630;20191221;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750620;19750620;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2023-06-30T00:00:00.000;2019-12-21T00:00:00.000;1975-06-20T00:00:00.000;1975-06-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;00FX45;Personenauto;BMW;2002 AUTOMATIC;0;19900804;Niet geregistreerd;CREME;Niet geregistreerd;4;1000;1100;19750522;19750522;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;0;1990-08-04T00:00:00.000;1975-05-22T00:00:00.000;1975-05-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;00FX52;Personenauto;BMW;1602;20140809;20001230;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750521;19750521;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;2014-08-09T00:00:00.000;2000-12-30T00:00:00.000;1975-05-21T00:00:00.000;1975-05-21T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;00FX53;Personenauto;BMW;1602;20060506;20191121;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750515;19750515;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2004;Geen oordeel;01;Ja;2006-05-06T00:00:00.000;2019-11-21T00:00:00.000;1975-05-15T00:00:00.000;1975-05-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;00FZ40;Personenauto;BMW;2002;20240726;19920406;Niet geregistreerd;CREME;Niet geregistreerd;4;1000;1100;19750516;19750516;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-07-26T00:00:00.000;1992-04-06T00:00:00.000;1975-05-16T00:00:00.000;1975-05-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;00GA35;Personenauto;BMW;1602;20150611;20210303;Niet geregistreerd;GROEN;Niet geregistreerd;4;980;1080;19750516;19750516;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2013;Geen oordeel;01;Ja;2015-06-11T00:00:00.000;2021-03-03T00:00:00.000;1975-05-16T00:00:00.000;1975-05-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;00GA36;Personenauto;BMW;1602;20240404;20120406;Niet geregistreerd;BLAUW;Niet geregistreerd;4;980;1080;19750526;19750526;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-04-04T00:00:00.000;2012-04-06T00:00:00.000;1975-05-26T00:00:00.000;1975-05-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;00GBR2;Personenauto;BMW;3ER REIHE;20230526;20100520;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080526;20080526;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-05-26T00:00:00.000;2010-05-20T00:00:00.000;2008-05-26T00:00:00.000;2008-05-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;7200;5;1599;1870;695;1100;35452;390L;e1*2001/116*0308*08;VF31;AA;0;A;0;0;0;0;0;0
21;00GDB4;Personenauto;BMW;1ER REIHE;20221125;20211119;hatchback;GRIJS;Niet geregistreerd;4;1240;1340;20080602;20080602;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker onder motorkap;0;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-11-25T00:00:00.000;2021-11-19T00:00:00.000;2008-06-02T00:00:00.000;2008-06-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1765;0;3040;6399;4;1995;1765;670;1200;30427;187;e1*2001/116*0287*13;UB91;AI;0;B;0;0;0;0;0;0
22;00GDT8;Personenauto;BMW;5ER REIHE;20230613;20190729;stationwagen;GRIJS;Niet geregistreerd;4;1575;1675;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.07;289;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-06-13T00:00:00.000;2019-07-29T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2200;0;4060;13784;5;1995;2200;750;1800;58168;560L;e1*2001/116*0230*12;PX31;AC;0;A;0;0;0;0;0;0
23;00GFB1;Personenauto;BMW;1ER REIHE;20230606;20080606;cabriolet;GRIJS;Niet geregistreerd;4;1435;1535;20080606;20080606;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;0;0.08;266;Nee;Nee;Nee;2022;Onlogisch;04;Ja;2023-06-06T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;436;0;1900;0;3175;13447;4;1995;1900;750;1200;55333;182;e1*2001/116*0352*03;UM51;AB;0;C;0;0;0;0;0;0
24;00GFL3;Personenauto;BMW;3ER REIHE;20221120;20181016;cabriolet;ZWART;Niet geregistreerd;6;1725;1825;20070522;20080603;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;0;0.12;276;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2022-11-20T00:00:00.000;2018-10-16T00:00:00.000;2007-05-22T00:00:00.000;2008-06-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;2180;0;3955;23666;4;2979;2180;750;1700;0;0;e1*2001/116*0346*04;WL71;02;0;F;0;0;0;0;0;0
25;00GFZ3;Personenauto;BMW;1ER REIHE;20230629;20220820;stationwagen;BLAUW;Niet geregistreerd;4;1320;1420;20080613;20080613;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.07;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-06-29T00:00:00.000;2022-08-20T00:00:00.000;2008-06-13T00:00:00.000;2008-06-13T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1855;0;3130;9373;5;1995;1855;690;1200;37411;187;e1*2001/116*0287*12;UD71;AB;0;C;0;0;0;0;0;0
26;00GGB4;Personenauto;BMW;Z4 3.0 SI;20230530;20170927;cabriolet;BLAUW;Niet geregistreerd;6;1370;1470;20071010;20080609;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker;0;0.13;250;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-05-30T00:00:00.000;2017-09-27T00:00:00.000;2007-10-10T00:00:00.000;2008-06-09T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1640;0;0;17513;2;2996;1640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;00GGP9;Personenauto;BMW;Z REIHE;20230328;20190911;cabriolet;ZWART;Niet geregistreerd;6;1245;1345;20010816;20080625;Geen verstrekking in Open Data;Ja;2;4;M1;midden tegen schutbord onder motorkap;0;0.09;245;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-03-28T00:00:00.000;2019-09-11T00:00:00.000;2001-08-16T00:00:00.000;2008-06-25T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;405;0;1540;1;0;9273;2;2171;1540;0;0;0;0;e1*98/14*0029*12;CN11;11;0;F;0;0;0;0;0;0
28;00GHD3;Personenauto;BMW;3ER REIHE;20230406;20220405;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-06T00:00:00.000;2022-04-05T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;6494;5;1599;1870;695;1100;32760;390L;e1*2001/116*0308*08;VF31;AA;0;A;0;0;0;0;0;0
29;00GHK7;Personenauto;BMW;3ER REIHE;20230713;20180210;coupe;ZWART;Niet geregistreerd;4;1335;1435;20080627;20080627;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;0;0.09;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-07-13T00:00:00.000;2018-02-10T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;1810;0;3285;10256;4;1995;1810;695;1400;45136;392C;e1*2001/116*0346*07;WA71;AA;0;B;0;0;0;0;0;0
30;00GHP7;Personenauto;BMW;1ER REIHE;20230405;20200619;hatchback;BRUIN;Niet geregistreerd;4;1250;1350;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;r. schroefveerkoker onder motorkap;0;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-05T00:00:00.000;2020-06-19T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1775;0;3050;6362;5;1995;1775;670;1200;30288;187;e1*2001/116*0287*13;UE51;AJ;0;B;0;0;0;0;0;0
31;00GHX2;Personenauto;BMW;5ER REIHE;20230419;20220728;sedan;GRIJS;Niet geregistreerd;6;1635;1735;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.12;289;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-19T00:00:00.000;2022-07-28T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2220;0;4280;22891;5;2993;2220;750;2000;88957;560L;e1*2001/116*0230*12;NX91;AB;0;C;0;0;0;0;0;0
