;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
668;00ZTF2;Personenauto;BMW;X REIHE;20230212;20130927;stationwagen;GRIJS;Niet geregistreerd;4;1485;1585;20130212;20130212;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.09;276;Nee;Nee;Nee;2022;Geen oordeel;07;Ja;2023-02-12T00:00:00.000;2013-09-27T00:00:00.000;2013-02-12T00:00:00.000;2013-02-12T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;448;0;2060;0;3940;8585;5;1997;2060;750;1800;49336;X1;e1*2007/46*0275*07;VL91;5A2V0;0;C;0.00;0;0;0;0;0
669;00ZTP2;Personenauto;BMW;1ER REIHE;20221123;20181123;stationwagen;BRUIN;Niet geregistreerd;4;1260;1360;20130209;20130209;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker;0;0.07;269;Nee;Nee;Nee;2021;Logisch;00;Ja;2022-11-23T00:00:00.000;2018-11-23T00:00:00.000;2013-02-09T00:00:00.000;2013-02-09T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1815;0;3090;4625;5;1598;1815;650;1200;36600;1K2;e1*2007/46*0273*05;1D11;5H205;0;B;0;0;0;0;0;0
670;00ZTZ3;Personenauto;BMW;X REIHE;20230222;20130219;stationwagen;GRIJS;Niet geregistreerd;6;1780;1880;20130219;20130219;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.12;281;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-02-22T00:00:00.000;2013-02-19T00:00:00.000;2013-02-19T00:00:00.000;2013-02-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;465;0;2395;0;4895;15097;5;2979;2395;750;2400;78068;X3;e1*2007/46*0512*08;WX71;5A0AV;0;D;0.00;0;0;0;0;0
671;00ZVF2;Personenauto;BMW;1ER REIHE;20230708;20210911;stationwagen;WIT;Niet geregistreerd;4;1280;1380;20130215;20130215;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker;0;0.06;269;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-07-08T00:00:00.000;2021-09-11T00:00:00.000;2013-02-15T00:00:00.000;2013-02-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1835;0;0;3002;5;1598;1835;0;0;31253;1K2;e1*2007/46*0273*05;1N31;5H005;0;A;0;0;0;0;0;0
672;00ZVK1;Personenauto;BMW;1 SERIES;20230302;20130301;stationwagen;WIT;Niet geregistreerd;4;1320;1420;20130301;20130301;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.07;269;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-03-02T00:00:00.000;2013-03-01T00:00:00.000;2013-03-01T00:00:00.000;2013-03-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1875;0;3150;6625;5;1995;1875;690;1200;42976;1K4;e1*2007/46*0283*07;1C11;5A200;0;C;0;0;0;0;0;0
673;00ZVN3;Personenauto;BMW;1ER REIHE;20230318;20210123;stationwagen;WIT;Niet geregistreerd;4;1270;1370;20130318;20130318;Geen verstrekking in Open Data;Nee;4;4;M1;r. motorruimte;0;0.09;269;Ja;Nee;Nee;2022;Logisch;00;Nee;2023-03-18T00:00:00.000;2021-01-23T00:00:00.000;2013-03-18T00:00:00.000;2013-03-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1825;0;3100;5250;5;1598;1825;670;1200;35264;1K4;e1*2007/46*0283*07;1A31;5H200;0;B;0.00;0;0;0;0;0
674;00ZVN4;Personenauto;BMW;1ER REIHE;20230307;20180905;stationwagen;WIT;Niet geregistreerd;4;1265;1365;20130307;20130307;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.05;269;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-03-07T00:00:00.000;2018-09-05T00:00:00.000;2013-03-07T00:00:00.000;2013-03-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1820;0;3095;3625;5;1598;1820;650;1200;29407;1K4;e1*2007/46*0283*07;1R11;5H000;0;A;0;0;0;0;0;0
675;00ZVP5;Personenauto;BMW;535I;20221015;20171010;stationwagen;BLAUW;Niet geregistreerd;6;1745;1845;20130227;20130227;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.12;297;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-10-15T00:00:00.000;2017-10-10T00:00:00.000;2013-02-27T00:00:00.000;2013-02-27T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;491;0;2420;0;4510;14061;5;2979;2420;750;2000;90608;5K;e1*2007/46*0455*02;MU71;5B;0;D;0.00;0;0;0;0;0
676;00ZVS8;Personenauto;BMW;6ER REIHE;20230521;20220226;cabriolet;WIT;Niet geregistreerd;8;1795;1895;20060426;20130221;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;0;0.13;278;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-05-21T00:00:00.000;2022-02-26T00:00:00.000;2006-04-26T00:00:00.000;2013-02-21T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2250;0;0;5275;4;4398;2250;0;0;124150;663CEK7132;e1*2001/116*0253*01;EK71;32;0;F;0;0;0;0;0;0
677;00ZXB6;Personenauto;BMW;1ER REIHE;20231014;20220526;stationwagen;WIT;Niet geregistreerd;4;1265;1365;20130228;20130228;Geen verstrekking in Open Data;Ja;4;4;M1;r. motorruimte;0;0.05;269;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-10-14T00:00:00.000;2022-05-26T00:00:00.000;2013-02-28T00:00:00.000;2013-02-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;432;0;1820;0;3095;4625;5;1598;1820;650;1200;33177;1K4;e1*2007/46*0283*06;1R11;5H200;0;B;0;0;0;0;0;0
678;00ZXG5;Personenauto;BMW;1ER REIHE;20230410;20190322;stationwagen;ZWART;Niet geregistreerd;4;1265;1365;20070726;20130226;Geen verstrekking in Open Data;Nee;2;4;M1;op r. schroefveerkoker onder motorkap;0;0.08;266;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2023-04-10T00:00:00.000;2019-03-22T00:00:00.000;2007-07-26T00:00:00.000;2013-02-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1790;0;3065;5849;4;1995;1790;650;1200;0;187;e1*2001/116*0287*10;UB91;AB;0;B;0;0;0;0;0;0
679;00ZXS2;Personenauto;BMW;1ER REIHE;20230116;20190119;cabriolet;GRIJS;Niet geregistreerd;4;1420;1520;20130329;20130329;Geen verstrekking in Open Data;Ja;2;4;M1;r. motorruimte;0;0.07;266;Nee;Nee;Nee;2021;Logisch;00;Ja;2023-01-16T00:00:00.000;2019-01-19T00:00:00.000;2013-03-29T00:00:00.000;2013-03-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;436;0;1900;0;3175;8881;4;1995;1900;670;1200;46289;1C;e1*2007/46*0277*06;UM11;5A000;0;D;0.00;0;0;0;0;0
680;0139EJ;Personenauto;BMW;2000 TI;0;20130704;Niet geregistreerd;GROEN;Niet geregistreerd;4;1110;1210;19670803;19670803;Geen verstrekking in Open Data;Ja;4;4;M1;op r. voorwielscherm onder motorkap;0;0.00;255;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;0;2013-07-04T00:00:00.000;1967-08-03T00:00:00.000;1967-08-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
681;0180AN;Personenauto;BMW;LS COUPE;0;19950616;Niet geregistreerd;CREME;Niet geregistreerd;2;666;766;19660131;19660131;Geen verstrekking in Open Data;Nee;2;4;M1;r. tegen kofferruimte in carrosserie dwarsbalk;0;0.00;228;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;0;1995-06-16T00:00:00.000;1966-01-31T00:00:00.000;1966-01-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
682;0194ZU;Personenauto;BMW;1600-2;0;20110530;Niet geregistreerd;ROOD;Niet geregistreerd;4;866;966;19710108;19710108;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2019;Logisch;00;Ja;0;2011-05-30T00:00:00.000;1971-01-08T00:00:00.000;1971-01-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
683;01DBJL;Personenauto;BMW;3ER REIHE;20230504;20190614;sedan;GRIJS;Niet geregistreerd;6;1340;1440;19990617;19990617;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.08;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-05-04T00:00:00.000;2019-06-14T00:00:00.000;1999-06-17T00:00:00.000;1999-06-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1865;1;3540;9343;5;1991;1865;720;1600;0;0;e1*97/27*0097*03;AM11;01;0;0;0;0;0;0;0;0
684;01DBLJ;Personenauto;BMW;3ER REIHE;20230618;20020830;sedan;GROEN;Niet geregistreerd;4;1260;1360;19990618;19990618;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.06;273;Nee;Ja;Nee;2022;Logisch;00;Ja;2023-06-18T00:00:00.000;2002-08-30T00:00:00.000;1999-06-18T00:00:00.000;1999-06-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1785;1;3110;7377;5;1895;1785;670;1250;0;0;e1*97/27*0097*04;AL11;01;0;0;0;0;0;0;0;0
685;01DBXG;Personenauto;BMW;5ER REIHE;20221201;20180208;stationwagen;ZWART;Niet geregistreerd;6;1620;1720;19990624;19990624;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.08;283;Nee;Nee;Nee;2021;Logisch;00;Ja;2022-12-01T00:00:00.000;2018-02-08T00:00:00.000;1999-06-24T00:00:00.000;1999-06-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;2230;1;4230;17967;5;2793;2230;750;2000;0;0;e1*93/81*0028*10;DP61;01;0;0;0;0;0;0;0;0
686;01DDJL;Personenauto;BMW;3ER REIHE;20230401;20220408;sedan;GRIJS;Niet geregistreerd;4;1260;1360;19990702;19990702;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;0;0.06;273;Nee;Ja;Nee;2022;Logisch;00;Ja;2023-04-01T00:00:00.000;2022-04-08T00:00:00.000;1999-07-02T00:00:00.000;1999-07-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1785;1;3110;7338;5;1895;1785;670;1250;0;0;e1*97/27*0097*04;AL11;01;0;0;0;0;0;0;0;0
